id	region	municipality	settlement	type	latitude_dd	longitude_dd
49140	Курская область	Город Железногорск	Железногорск	г	52.33805556	35.35166667
153445	Самарская область	Новокуйбышевск	Новокуйбышевск	г	53.09944444	49.94777778
69261	Республика Крым	Феодосия	Феодосия	г	45.03194444	35.3825
107520	Республика Крым	Сакский район	Саки	г	45.13416667	33.60333333
98869	Республика Калмыкия	городской округ Элиста	Элиста	г	46.30833333	44.27027778
79898	Московская область	Пушкинский	Пушкино	г	56.00916667	37.85277778
122933	Тюменская область	Тобольск	Тобольск	г	58.20166667	68.25388889
51776	Липецкая область	Город Елец	Елец	г	52.61916667	38.5
24454	Новосибирская область	Бердск	Бердск	г	54.75833333	83.10722222
104653	Ставропольский край	Город-курорт Ессентуки	Ессентуки	г	44.04444444	42.85888889
47493	Московская область	Жуковский	Жуковский	г	55.59777778	38.11944444
124494	Нижегородская область	Арзамас	Арзамас	г	55.38777778	43.81555556
78904	Ямало-Ненецкий автономный округ	Ноябрьск	Ноябрьск	г	63.20166667	75.45083333
79452	Томская область	ЗАТО город Северск	Северск	г	56.60333333	84.88083333
93447	Ростовская область	Город Новошахтинск	Новошахтинск	г	47.75777778	39.93638889
77550	Красноярский край	Ачинск	Ачинск	г	56.26944444	90.49527778
137397	Владимирская область	Округ Муром	Муром	г	55.57916667	42.0525
147873	Московская область	Щёлковский	Щелково	г	55.91972222	37.98833333
12831	Московская область	Сергиево-Посадский	Сергиев Посад	г	56.31611111	38.13444444
132420	Республика Башкортостан	Октябрьский	Октябрьский	г	54.48138889	53.46555556
116207	Ульяновская область	Димитровград	Димитровград	г	54.21888889	49.60388889
89714	Республика Дагестан	Каспийск	Каспийск	г	42.89166667	47.63666667
4891	Калужская область	город Обнинск	Обнинск	г	55.11194444	36.58666667
155218	Волгоградская область	Город Камышин	Камышин	г	50.08361111	45.40722222
139192	Московская область	Красногорский	Красногорск	г	55.83194444	37.32944444
120656	Ямало-Ненецкий автономный округ	Новый Уренгой	Новый Уренгой	г	66.08388889	76.68111111
9368	Республика Тыва	Кызыл	Кызыл	г	51.71916667	94.43777778
12272	Ставропольский край	Невинномысск	Невинномысск	г	44.63833333	41.93611111
8232	Республика Крым	Евпатория	Евпатория	г	45.19055556	33.36694444
153446	Московская область	Орехово-Зуево	Орехово-Зуево	г	55.80916667	38.97833333
44494	Карачаево-Черкесская республика	Черкесск	Черкесск	г	44.22666667	42.04666667
128494	Москва	Троицкий	Москва	г	55.75388889	37.62027778
14324	Республика Дагестан	Дербент	Дербент	г	42.05777778	48.28888889
54108	Ростовская область	Город Батайск	Батайск	г	47.13833333	39.75083333
71349	Свердловская область	городской округ Первоуральск	Первоуральск	г	56.90527778	59.94333333
106000	Чувашская республика	Новочебоксарск	Новочебоксарск	г	56.11388889	47.48694444
153043	Московская область	Серпухов	Серпухов	г	54.91361111	37.41666667
90684	Ханты-Мансийский автономный округ - Югра	Нефтеюганск	Нефтеюганск	г	61.09972222	72.60333333
74738	Ставропольский край	Город-курорт Кисловодск	Кисловодск	г	43.90527778	42.71666667
123613	Алтайский край	Рубцовск	Рубцовск	г	51.50111111	81.20777778
64699	Тульская область	Город Новомосковск	Новомосковск	г	54.01111111	38.29083333
64918	Санкт-Петербург	Петродворцовый	Санкт-Петербург	г	59.93916667	30.31583333
52329	Санкт-Петербург	Петроградский	Санкт-Петербург	г	59.93916667	30.31583333
18456	Владимирская область	Город Ковров	Ковров	г	56.36361111	41.31111111
126712	Приморский край	Уссурийский	Уссурийск	г	43.79722222	131.9516667
79773	Московская область	Одинцовский	Одинцово	г	55.67888889	37.26388889
63125	Республика Башкортостан	Нефтекамск<U+200E>	Нефтекамск	г	56.08833333	54.24805556
25766	Республика Адыгея	Городской округ Майкоп	Майкоп	г	44.60972222	40.10055556
104166	Московская область	Коломна	Коломна	г	55.10305556	38.75305556
142230	Пермский край	Березники	Березники	г	59.40805556	56.80388889
96481	Ставропольский край	Город-курорт Пятигорск	Пятигорск	г	44.03972222	43.07083333
92442	Челябинская область	Копейский	Копейск	г	55.11666667	61.61805556
70696	Республика Крым	Керчь	Керчь	г	45.35611111	36.46722222
116933	Приморский край	Находкинский городской округ	Находка	г	42.82416667	132.8927778
60435	Республика Татарстан	Альметьевский район	Альметьевск	г	54.90138889	52.29722222
77667	Челябинская область	Миасский	Миасс	г	55.04555556	60.10777778
81932	Республика Башкортостан	Салават	Салават	г	53.36166667	55.92444444
140513	Московская область	Электросталь	Электросталь	г	55.78444444	38.44472222
145560	Республика Татарстан	Зеленодольский район	Зеленодольск	г	55.84666667	48.50111111
136836	Санкт-Петербург	Адмиралтейский	Санкт-Петербург	г	59.93916667	30.31583333
93326	Челябинская область	Златоустовский	Златоуст	г	55.17138889	59.67277778
8919	Самарская область	Сызрань	Сызрань	г	53.15583333	48.47444444
14886	Ростовская область	Город Новочеркасск	Новочеркасск	г	47.41194444	40.10416667
131896	Свердловская область	город Каменск-Уральский	Каменск-Уральский	г	56.41388889	61.91888889
42377	Ростовская область	Город Волгодонск	Волгодонск	г	47.51666667	42.19833333
79885	Московская область	Люберецкий	Люберцы	г	55.67638889	37.89805556
102557	Московская область	Мытищинский	Мытищи	г	55.90944444	37.73388889
96814	Красноярский край	Норильск	Норильск	г	69.34916667	88.20111111
124768	Санкт-Петербург	Пушкинский	Санкт-Петербург	г	59.93916667	30.31583333
18786	Республика Татарстан	Нижнекамский район	Нижнекамск	г	55.63388889	51.80916667
141712	Камчатский край	Петропавловск-Камчатский городской округ	Петропавловск-Камчатский	г	53.03694444	158.6558333
148205	Архангельская область	Северодвинск	Северодвинск	г	64.5625	39.81805556
146163	Краснодарский край	Город Армавир	Армавир	г	45.00111111	41.1325
119491	Республика Хакасия	Абакан	Абакан	г	53.72111111	91.4425
85241	Санкт-Петербург	Колпинский	Санкт-Петербург	г	59.93916667	30.31583333
116258	Московская область	Подольск	Подольск	г	55.43111111	37.54472222
36589	Саратовская область	Балаковский район	Балаково	г	52.02222222	47.78277778
82287	Кемеровская область	Прокопьевский	Прокопьевск	г	53.88444444	86.75
68774	Ярославская область	Рыбинский район	Рыбинск	г	58.04833333	38.85833333
100798	Алтайский край	Бийск	Бийск	г	52.53916667	85.21388889
10757	Сахалинская область	городской округ Город Южно-Сахалинск	Южно-Сахалинск	г	46.95916667	142.7380556
109439	Московская область	Химки	Химки	г	55.88888889	37.43027778
89632	Псковская область	городской округ Псков	Псков	г	57.8175	28.33444444
155158	Санкт-Петербург	Василеостровский	Санкт-Петербург	г	59.93916667	30.31583333
59150	Московская область	Балашиха	Балашиха	г	55.79638889	37.93833333
24677	Московская область	Королёв	Королев	г	55.92222222	37.85444444
14230	Москва	Новомосковский	Москва	г	55.75388889	37.62027778
52906	Санкт-Петербург	Центральный	Санкт-Петербург	г	59.93916667	30.31583333
53193	Новгородская область	Город Великий Новгород	Великий Новгород	г	58.52138889	31.27555556
149730	Саратовская область	Энгельсский район	Энгельс	г	51.48555556	46.12666667
61166	Иркутская область	Ангарский район	Ангарск	г	52.54416667	103.8880556
43941	Амурская область	Благовещенск	Благовещенск	г	50.29055556	127.5272222
99130	Иркутская область	Братск	Братск	г	56.15138889	101.6341667
77779	Оренбургская область	Орск	Орск	г	51.22944444	58.47527778
105453	Нижегородская область	Дзержинск	Дзержинск	г	56.23833333	43.46166667
10807	Белгородская область	Старооскольский городской округ	Старый Оскол	г	51.29805556	37.83333333
