region_name,region_name_rus,map_region_name,vodka,conyac,whiskey,vine,option_region_name,type,type_eng
УЛЬЯНОВСКАЯ ОБЛ,Ульяновская область,Ul'yanovsk,28.55,4.16,1.24,4.27,Simbirsk|Simbirskaya G.|Ul'yanovskaya Oblast,Oblast,Region
ХАБАРОВСКИЙ КРАЙ,Хабаровский край,Khabarovsk,43.46,4.96,1.42,2.95,Khabarovskiy Kray,Kray,Territory
ХАКАСИЯ РЕСП,Хакасия республика,Khakass,32.87,4.41,1.13,2.56,Khakassiya|Republic of Khakasia|Khakasskaya A.Obl.|Respublika Khakasiya|Republic of Khakasia,Respublika,Republic
ХАНТЫ-МАНСИЙСКИЙ - ЮГРА АО,Ненецкий автономный округ,Khanty-Mansiy,39.59,7.48,2.38,5.29,Khanty-Mansiysk|Khanty-Mansiyskiy A.Okr.|Khanty-Mansiyskiy A.Okr.-Yugra|Khanty-Mansiyskiy Aok,Avtonomnyy Okrug,Autonomous Province
ЧЕЛЯБИНСКАЯ ОБЛ,Челябинская область,Chelyabinsk,32.52,4.69,1.67,6.32,Chelyabinskaya Oblast,Oblast,Region
ЧЕЧЕНСКАЯ РЕСП,Чеченская республика,Chechnya,65.46,6.28,3.24,1.99,Cecenia|Chechenia|Chechênia|Tchetchnia|Chechen-Ingush A.S.S.R.|Checheno-Ingushetia|Checheno-Ingushetia,Respublika,Republic
ЧУВАШСКАЯ - ЧУВАШИЯ РЕСП,Чувашская Республика,Chuvash,45.76,3.34,1.11,2.73,Chuvashskaya A.S.S.R.|Chuvashskaya Respublika|Chuvashiya|Chuvash Republic,Respublika,Republic
ЧУКОТСКИЙ АО,Ханты-Мансийский автономный округ-Югра,Chukot,54.66,7.66,0.99,1.39,Chukotka|Chukotskiy Aok,Avtonomnyy Okrug,Autonomous Province
ЯМАЛО-НЕНЕЦКИЙ АО,Ямало-Ненецкий автономный округ,Yamal-Nenets,41.6,8.02,2.37,4.57,Yamalo-Nenetskiy A. Okrug,Avtonomnyy Okrug,Autonomous Province
ЯРОСЛАВСКАЯ ОБЛ,Ярославская область,Yaroslavl',36.24,5.34,1.4,5.26,Yaroslavskaya,Oblast,Region
